Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,5068
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,42
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Father/ Mother,181
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,62
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Brother/ Sister,265
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,1133
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Other Relative,176
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Domestic Helper,13
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Not Related,13
KOSHI,Ilam,Chulachuli Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Total,11823
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Household head,1534
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Husband/ Wife,3615
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,1348
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,3384
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Father/ Mother,376
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,115
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Brother/ Sister,203
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,1020
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Other Relative,220
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Not Related,8
KOSHI,Ilam,Chulachuli Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Ilam,Mai Municipality,Total,Total,30732
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Household head,7939
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Husband/ Wife,5668
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Son / Daughter in Law,8026
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Daughter/ Son in Law,4560
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Father/ Mother,878
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,222
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Brother/ Sister,517
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,2398
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Other Relative,463
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Domestic Helper,15
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Not Related,46
KOSHI,Ilam,Mai Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Ilam,Mai Municipality,Male,Total,15130
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Household head,5868
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Husband/ Wife,546
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Son / Daughter in Law,6514
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Daughter/ Son in Law,51
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Father/ Mother,306
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,78
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Brother/ Sister,293
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,1208
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Other Relative,221
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Domestic Helper,14
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Not Related,31
KOSHI,Ilam,Mai Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Ilam,Mai Municipality,Female,Total,15602
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Household head,2071
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Husband/ Wife,5122
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Son / Daughter in Law,1512
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Daughter/ Son in Law,4509
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Father/ Mother,572
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,144
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Brother/ Sister,224
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,1190
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Other Relative,242
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Domestic Helper,1
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Not Related,15
KOSHI,Ilam,Mai Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Ilam,Suryodaya Municipality,Total,Total,54727
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Household head,14032
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Husband/ Wife,10810
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Son / Daughter in Law,13738
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Daughter/ Son in Law,7626
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Father/ Mother,2296
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,270
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Brother/ Sister,1235
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,3626
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Other Relative,861
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Domestic Helper,49
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Not Related,184
KOSHI,Ilam,Suryodaya Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Ilam,Suryodaya Municipality,Male,Total,27382
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Household head,11359
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Husband/ Wife,809
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Son / Daughter in Law,11025
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Daughter/ Son in Law,84
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Father/ Mother,860
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,102
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Brother/ Sister,649
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,1915
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Other Relative,378
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Domestic Helper,43
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Not Related,158
KOSHI,Ilam,Suryodaya Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Ilam,Suryodaya Municipality,Female,Total,27345
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Household head,2673
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Husband/ Wife,10001
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Son / Daughter in Law,2713
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Daughter/ Son in Law,7542
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Father/ Mother,1436
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,168
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Brother/ Sister,586
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,1711
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Other Relative,483
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Domestic Helper,6
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Not Related,26
KOSHI,Ilam,Suryodaya Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Ilam,Rong Gaunpalika,Total,Total,17367
KOSHI,Ilam,Rong Gaunpalika,Total,Relation of  household head - Household head,4537
KOSHI,Ilam,Rong Gaunpalika,Total,Relation of  household head - Husband/ Wife,3385
KOSHI,Ilam,Rong Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,4251
KOSHI,Ilam,Rong Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2444
